Trade_ID,Trade_Date,Symbol,Sector,Strategy,Market_Condition,Entry_Price,Exit_Price,Quantity,Profit,Emotion,Mistake,Stop_Loss,Target,Risk_Amount,Reward_Amount,Risk_Reward_Ratio,Confidence_Level,Trade_Followed_Plan,Win_Loss,Return_Percentage,Entry_Time,Trade_Duration_Minutes,Exit_Time
11,2025-08-22,RELIANCE,Energy,BREAKOUT,Volatile,2314,2230.39,61,-5100.21,Fear,Early Exit,2265.09,2385.92,48.91,71.92,1.47,Medium,Yes,Loss,-3.61,11:17,25,11:42
12,2026-06-07,HDFCBANK,Banking,BREAKOUT,Bearish,2553,2468.69,42,-3541.02,Confidence,No Mistake,2517.39,2647.94,35.61,94.94,2.67,Medium,No,Loss,-3.3,11:54,205,15:19
13,2025-10-28,TCS,IT,MACD,Bearish,3073,3225.27,43,6547.61,Confidence,No Mistake,3010.16,3167.06,62.84,94.06,1.5,Low,Yes,Win,4.96,13:50,162,16:32
14,2026-04-02,TCS,IT,RSI,Volatile,3183,3120.69,66,-4112.46,Confidence,No Mistake,3091.67,3338.22,91.33,155.22,1.7,Medium,No,Loss,-1.96,14:47,95,16:22
15,2026-03-03,RELIANCE,Energy,RSI,Volatile,1980,1908.8,15,-1068.0,Greed,Overtrading,1939.88,2083.24,40.12,103.24,2.57,Medium,Yes,Loss,-3.6,11:26,178,14:24
16,2025-07-10,INFY,IT,RSI,Volatile,1680,1731.56,20,1031.2,Confidence,No Mistake,1636.99,1715.87,43.01,35.87,0.83,High,Yes,Win,3.07,13:28,19,13:47
17,2026-05-16,ICICIBANK,Banking,RSI,Bearish,1676,1602.76,61,-4467.64,Confidence,No Mistake,1657.49,1713.38,18.51,37.38,2.02,High,Yes,Loss,-4.37,10:21,70,11:31
18,2026-01-08,ICICIBANK,Banking,MACD,Bullish,4734,4513.53,92,-20283.24,Fear,Early Exit,4630.71,4954.82,103.29,220.82,2.14,High,No,Loss,-4.66,13:56,222,17:38
19,2025-10-12,RELIANCE,Energy,RSI,Bearish,3582,3551.94,68,-2044.08,Fear,No Mistake,3540.81,3715.4,41.19,133.4,3.24,Medium,Yes,Loss,-0.84,11:02,165,13:47
20,2025-09-21,INFY,IT,BREAKOUT,Volatile,2416,2417.9,28,53.2,Fear,Early Exit,2378.37,2502.55,37.63,86.55,2.3,Medium,Yes,Win,0.08,12:03,16,12:19
21,2025-10-10,TCS,IT,MACD,sideways,4904,5029.41,61,7650.01,Fear,Early Exit,4767.57,5048.01,136.43,144.01,1.06,High,No,Win,2.56,14:43,176,17:39
22,2025-10-14,ICICIBANK,Banking,MACD,sideways,4080,4120.71,80,3256.8,Fear,Early Exit,4013.28,4297.23,66.72,217.23,3.26,Medium,Yes,Win,1.0,10:07,106,11:53
23,2026-03-28,ICICIBANK,Banking,RSI,Bearish,4507,4470.54,86,-3135.56,Fear,Early Exit,4387.83,4653.65,119.17,146.65,1.23,Medium,Yes,Loss,-0.81,12:36,61,13:37
24,2026-04-09,TCS,IT,BREAKOUT,Bearish,3399,3480.35,44,3579.4,Greed,No Mistake,3359.97,3579.19,39.03,180.19,4.62,Medium,Yes,Win,2.39,12:00,100,13:40
25,2025-09-26,ICICIBANK,Banking,RSI,Bearish,1462,1504.94,95,4079.3,Greed,Overtrading,1427.78,1505.31,34.22,43.31,1.27,Low,Yes,Win,2.94,10:46,145,13:11
26,2026-04-12,RELIANCE,Energy,MACD,Bullish,1034,1011.51,15,-337.35,Confidence,No Mistake,1020.96,1078.82,13.04,44.82,3.44,Medium,Yes,Loss,-2.18,10:56,222,14:38
27,2026-02-02,HDFCBANK,Banking,BREAKOUT,Bearish,1541,1472.06,36,-2481.84,Fear,Early Exit,1506.48,1618.23,34.52,77.23,2.24,Medium,Yes,Loss,-4.47,14:09,44,14:53
28,2025-11-06,TCS,IT,RSI,Bearish,3733,3588.6,61,-8808.4,Confidence,No Mistake,3641.87,3897.52,91.13,164.52,1.81,High,Yes,Loss,-3.87,09:36,158,12:14
29,2025-11-15,HDFCBANK,Banking,RSI,sideways,1514,1449.7,55,-3536.5,Confidence,No Mistake,1472.26,1550.37,41.74,36.37,0.87,High,Yes,Loss,-4.25,10:38,171,13:29
30,2025-10-27,ICICIBANK,Banking,MACD,Volatile,1952,1972.05,19,380.95,Confidence,No Mistake,1917.52,2061.86,34.48,109.86,3.19,Medium,Yes,Win,1.03,10:27,114,12:21
31,2025-06-20,HDFCBANK,Banking,MACD,sideways,2366,2442.41,85,6494.85,Fear,No Mistake,2328.95,2466.55,37.05,100.55,2.71,Medium,Yes,Win,3.23,14:39,93,16:12
32,2025-09-15,HDFCBANK,Banking,RSI,Bullish,2166,2212.02,60,2761.2,Fear,Early Exit,2138.25,2209.56,27.75,43.56,1.57,Low,Yes,Win,2.12,11:21,179,14:20
33,2025-12-03,RELIANCE,Energy,BREAKOUT,Bearish,1566,1516.29,33,-1640.43,Fear,No Mistake,1538.86,1637.05,27.14,71.05,2.62,High,Yes,Loss,-3.17,09:14,95,10:49
34,2025-07-19,TCS,IT,BREAKOUT,Bearish,1184,1229.03,96,4322.88,Fear,Early Exit,1150.71,1226.66,33.29,42.66,1.28,Medium,Yes,Win,3.8,10:43,230,14:33
35,2025-07-18,INFY,IT,MACD,Bearish,2524,2562.07,30,1142.1,Confidence,No Mistake,2454.08,2641.06,69.92,117.06,1.67,Medium,Yes,Win,1.51,14:27,70,15:37
36,2026-03-02,RELIANCE,Energy,BREAKOUT,Bullish,2534,2566.7,22,719.4,Confidence,No Mistake,2459.69,2594.85,74.31,60.85,0.82,Medium,No,Win,1.29,14:50,211,18:21
37,2026-04-27,TCS,IT,RSI,Bullish,2078,2102.28,15,364.2,Confidence,Late Entry,2020.34,2166.03,57.66,88.03,1.53,Medium,No,Win,1.17,11:54,92,13:26
38,2026-02-04,HDFCBANK,Banking,RSI,Volatile,1280,1312.95,41,1350.95,Fear,Early Exit,1255.05,1313.94,24.95,33.94,1.36,High,Yes,Win,2.57,11:08,62,12:10
39,2025-08-27,HDFCBANK,Banking,MACD,Bullish,3139,3055.05,96,-8059.2,Greed,No Mistake,3090.6,3271.23,48.4,132.23,2.73,Low,No,Loss,-2.67,12:59,148,15:27
40,2025-10-20,TCS,IT,MACD,Bearish,2957,3026.87,76,5310.12,Greed,No Mistake,2922.69,3020.24,34.31,63.24,1.84,Medium,Yes,Win,2.36,13:42,94,15:16
41,2025-06-23,RELIANCE,Energy,MACD,sideways,3704,3704.09,15,1.35,Confidence,No Mistake,3663.35,3820.65,40.65,116.65,2.87,Medium,Yes,Win,0.0,13:39,28,14:07
42,2025-12-10,TCS,IT,BREAKOUT,sideways,4436,4468.9,35,1151.5,Confidence,No Mistake,4316.24,4538.44,119.76,102.44,0.86,High,Yes,Win,0.74,14:29,62,15:31
43,2025-12-27,RELIANCE,Energy,MACD,Volatile,2439,2408.65,98,-2974.3,Greed,Overtrading,2393.04,2505.89,45.96,66.89,1.46,High,Yes,Loss,-1.24,12:23,190,15:33
44,2026-04-16,HDFCBANK,Banking,RSI,sideways,3159,3019.51,32,-4463.68,Fear,Early Exit,3071.0,3245.82,88.0,86.82,0.99,High,Yes,Loss,-4.42,12:22,59,13:21
45,2026-02-20,ICICIBANK,Banking,RSI,Volatile,2154,2159.48,88,482.24,Fear,Early Exit,2116.74,2227.04,37.26,73.04,1.96,Medium,Yes,Win,0.25,12:07,152,14:39
46,2026-03-09,RELIANCE,Energy,RSI,Bearish,3898,4056.99,12,1907.88,Fear,Early Exit,3844.66,4078.21,53.34,180.21,3.38,Medium,Yes,Win,4.08,14:52,221,18:33
47,2026-04-30,RELIANCE,Energy,RSI,Bearish,2665,2757.21,76,7007.96,Confidence,No Mistake,2636.99,2804.07,28.01,139.07,4.97,High,Yes,Win,3.46,11:34,229,15:23
48,2026-02-21,HDFCBANK,Banking,BREAKOUT,Bearish,1392,1426.14,76,2594.64,Greed,No Mistake,1367.05,1435.67,24.95,43.67,1.75,High,Yes,Win,2.45,12:49,160,15:29
49,2026-02-11,INFY,IT,BREAKOUT,sideways,3976,4047.72,79,5665.88,Greed,Overtrading,3881.33,4065.31,94.67,89.31,0.94,Medium,Yes,Win,1.8,11:42,166,14:28
50,2026-02-09,ICICIBANK,Banking,BREAKOUT,sideways,4612,4388.97,74,-16504.22,Greed,Overtrading,4511.79,4734.03,100.21,122.03,1.22,Medium,Yes,Loss,-4.84,14:29,42,15:11
51,2026-04-18,HDFCBANK,Banking,MACD,Bullish,1288,1238.27,46,-2287.58,Confidence,No Mistake,1267.12,1352.42,20.88,64.42,3.09,Medium,Yes,Loss,-3.86,13:27,58,14:25
52,2026-02-07,RELIANCE,Energy,BREAKOUT,Volatile,2354,2433.94,66,5276.04,Fear,No Mistake,2321.6,2409.61,32.4,55.61,1.72,High,Yes,Win,3.4,09:21,144,11:45
53,2025-12-06,HDFCBANK,Banking,RSI,Bearish,4553,4504.81,59,-2843.21,Greed,Overtrading,4470.72,4771.18,82.28,218.18,2.65,Low,Yes,Loss,-1.06,11:49,55,12:44
54,2026-03-05,HDFCBANK,Banking,RSI,Bearish,3816,3917.04,77,7780.08,Fear,No Mistake,3756.51,3931.92,59.49,115.92,1.95,Medium,No,Win,2.65,10:56,109,12:45
55,2025-07-06,RELIANCE,Energy,BREAKOUT,Bullish,2856,2719.34,76,-10386.16,Confidence,No Mistake,2790.21,2932.07,65.79,76.07,1.16,Medium,Yes,Loss,-4.79,09:21,65,10:26
56,2026-05-03,INFY,IT,BREAKOUT,Bearish,4153,4159.62,28,185.36,Fear,No Mistake,4030.59,4266.63,122.41,113.63,0.93,Medium,Yes,Win,0.16,09:59,199,13:18
57,2025-09-15,INFY,IT,BREAKOUT,sideways,3946,4021.34,59,4445.06,Confidence,No Mistake,3848.31,4084.62,97.69,138.62,1.42,Medium,Yes,Win,1.91,10:07,117,12:04
58,2026-05-01,INFY,IT,MACD,sideways,3393,3414.31,72,1534.32,Confidence,No Mistake,3353.2,3506.05,39.8,113.05,2.84,Low,Yes,Win,0.63,09:42,186,12:48
59,2026-05-11,TCS,IT,RSI,Volatile,3521,3417.77,83,-8568.09,Fear,Early Exit,3451.16,3638.96,69.84,117.96,1.69,High,Yes,Loss,-2.93,10:06,197,13:23
60,2026-04-27,INFY,IT,BREAKOUT,Bullish,4708,4651.98,43,-2408.86,Fear,Early Exit,4598.09,4981.63,109.91,273.63,2.49,High,No,Loss,-1.19,14:34,46,15:20
61,2026-04-24,INFY,IT,BREAKOUT,Volatile,1432,1467.56,21,746.76,Fear,No Mistake,1390.09,1505.25,41.91,73.25,1.75,High,No,Win,2.48,13:51,12,14:03
62,2026-02-26,TCS,IT,MACD,Volatile,3450,3588.68,58,8043.44,Fear,No Mistake,3398.56,3588.41,51.44,138.41,2.69,Low,Yes,Win,4.02,09:24,186,12:30
63,2025-11-15,HDFCBANK,Banking,MACD,sideways,2661,2685.22,91,2204.02,Greed,Overtrading,2630.25,2749.93,30.75,88.93,2.89,High,No,Win,0.91,14:54,37,15:31
64,2025-11-20,ICICIBANK,Banking,RSI,sideways,2874,2981.37,64,6871.68,Greed,No Mistake,2831.11,3032.59,42.89,158.59,3.7,Low,No,Win,3.74,11:08,187,14:15
65,2026-05-19,HDFCBANK,Banking,RSI,Volatile,2728,2770.71,17,726.07,Confidence,No Mistake,2665.75,2860.3,62.25,132.3,2.13,Low,Yes,Win,1.57,10:53,12,11:05
66,2026-02-13,RELIANCE,Energy,BREAKOUT,Bearish,2125,2126.57,86,135.02,Fear,Early Exit,2066.7,2234.36,58.3,109.36,1.88,Medium,No,Win,0.07,14:23,232,18:15
67,2025-12-30,TCS,IT,BREAKOUT,sideways,3230,3127.21,13,-1336.27,Greed,Overtrading,3171.11,3419.84,58.89,189.84,3.22,Medium,Yes,Loss,-3.18,11:08,171,13:59
68,2025-12-30,TCS,IT,MACD,Volatile,3084,3013.06,22,-1560.68,Fear,Early Exit,2996.15,3228.85,87.85,144.85,1.65,Medium,Yes,Loss,-2.3,11:18,32,11:50
69,2025-08-29,ICICIBANK,Banking,BREAKOUT,Bearish,2276,2334.98,49,2890.02,Confidence,No Mistake,2230.49,2380.48,45.51,104.48,2.3,Medium,Yes,Win,2.59,12:08,84,13:32
70,2025-08-17,RELIANCE,Energy,RSI,Bullish,4418,4593.34,32,5610.88,Confidence,No Mistake,4293.38,4654.24,124.62,236.24,1.9,Low,No,Win,3.97,10:08,217,13:45
71,2025-06-16,ICICIBANK,Banking,RSI,Volatile,4862,5062.04,48,9601.92,Fear,No Mistake,4719.86,5057.42,142.14,195.42,1.37,Medium,Yes,Win,4.11,09:27,18,09:45
72,2025-07-23,RELIANCE,Energy,BREAKOUT,sideways,4726,4961.12,81,19044.72,Confidence,No Mistake,4617.47,4971.24,108.53,245.24,2.26,Medium,Yes,Win,4.98,10:13,7,10:20
73,2026-05-16,ICICIBANK,Banking,BREAKOUT,Volatile,1914,1830.56,89,-7426.16,Greed,Overtrading,1883.7,2017.97,30.3,103.97,3.43,Medium,Yes,Loss,-4.36,09:26,64,10:30
74,2025-07-30,ICICIBANK,Banking,MACD,Bullish,4217,4294.33,11,850.63,Greed,No Mistake,4117.32,4338.26,99.68,121.26,1.22,High,No,Win,1.83,11:34,157,14:11
75,2025-08-21,RELIANCE,Energy,MACD,Bullish,2018,1966.94,29,-1480.74,Greed,No Mistake,1984.33,2130.36,33.67,112.36,3.34,High,Yes,Loss,-2.53,12:37,136,14:53
76,2026-05-13,INFY,IT,BREAKOUT,Bearish,1135,1087.38,27,-1285.74,Fear,Early Exit,1113.91,1189.91,21.09,54.91,2.6,High,Yes,Loss,-4.2,11:13,210,14:43
77,2026-03-10,ICICIBANK,Banking,RSI,Bearish,2321,2434.06,13,1469.78,Fear,No Mistake,2266.18,2368.67,54.82,47.67,0.87,High,No,Win,4.87,10:28,205,13:53
78,2025-09-01,TCS,IT,MACD,Volatile,2791,2838.6,83,3950.8,Fear,Early Exit,2709.38,2900.62,81.62,109.62,1.34,Medium,Yes,Win,1.71,12:43,67,13:50
79,2025-06-15,INFY,IT,MACD,Bearish,4598,4692.23,50,4711.5,Greed,Overtrading,4542.27,4771.52,55.73,173.52,3.11,Medium,Yes,Win,2.05,11:27,76,12:43
80,2026-01-08,ICICIBANK,Banking,MACD,Bullish,4281,4077.55,98,-19938.1,Fear,Early Exit,4188.69,4508.17,92.31,227.17,2.46,Medium,Yes,Loss,-4.75,11:52,123,13:55
81,2025-09-27,HDFCBANK,Banking,RSI,Volatile,1143,1134.66,76,-633.84,Confidence,No Mistake,1112.19,1169.2,30.81,26.2,0.85,Medium,Yes,Loss,-0.73,11:25,100,13:05
82,2025-09-12,ICICIBANK,Banking,BREAKOUT,Bearish,1455,1470.76,73,1150.48,Greed,Overtrading,1432.83,1511.99,22.17,56.99,2.57,High,No,Win,1.08,12:27,66,13:33
83,2026-06-03,ICICIBANK,Banking,BREAKOUT,Bullish,2738,2761.67,86,2035.62,Greed,Overtrading,2708.12,2837.4,29.88,99.4,3.33,High,Yes,Win,0.86,12:37,34,13:11
84,2026-02-05,RELIANCE,Energy,BREAKOUT,Volatile,1271,1270.34,22,-14.52,Confidence,Late Entry,1238.54,1330.03,32.46,59.03,1.82,Low,Yes,Loss,-0.05,11:29,134,13:43
85,2025-12-17,HDFCBANK,Banking,BREAKOUT,Bullish,1413,1384.12,48,-1386.24,Fear,Early Exit,1396.01,1452.25,16.99,39.25,2.31,Low,Yes,Loss,-2.04,09:19,128,11:27
86,2026-04-07,TCS,IT,BREAKOUT,Bullish,2905,2835.52,89,-6183.72,Confidence,No Mistake,2873.61,3002.87,31.39,97.87,3.12,Low,Yes,Loss,-2.39,10:04,51,10:55
87,2026-04-04,ICICIBANK,Banking,MACD,sideways,3944,3982.7,81,3134.7,Confidence,No Mistake,3902.83,4078.57,41.17,134.57,3.27,High,Yes,Win,0.98,10:55,113,12:48
88,2025-10-12,INFY,IT,RSI,Bullish,2843,2787.76,20,-1104.8,Fear,Early Exit,2770.81,2953.1,72.19,110.1,1.53,High,Yes,Loss,-1.94,13:08,203,16:31
89,2025-08-10,INFY,IT,MACD,Volatile,1711,1793.59,52,4294.68,Confidence,Late Entry,1685.22,1795.12,25.78,84.12,3.26,Low,Yes,Win,4.83,09:17,67,10:24
90,2025-12-21,ICICIBANK,Banking,BREAKOUT,Volatile,1372,1419.07,88,4142.16,Confidence,No Mistake,1348.5,1446.28,23.5,74.28,3.16,Medium,No,Win,3.43,11:00,51,11:51
91,2026-05-18,TCS,IT,MACD,Volatile,4106,4104.98,61,-62.22,Greed,Overtrading,4024.8,4242.47,81.2,136.47,1.68,Medium,Yes,Loss,-0.02,13:11,134,15:25
92,2025-11-29,INFY,IT,RSI,Bullish,3276,3270.31,67,-381.23,Confidence,No Mistake,3230.65,3361.47,45.35,85.47,1.88,High,Yes,Loss,-0.17,09:49,195,13:04
93,2025-07-14,INFY,IT,RSI,Bullish,4812,4607.91,50,-10204.5,Confidence,No Mistake,4697.09,5020.79,114.91,208.79,1.82,Medium,No,Loss,-4.24,11:05,81,12:26
94,2025-10-26,TCS,IT,MACD,Volatile,3543,3495.04,11,-527.56,Greed,No Mistake,3476.04,3711.83,66.96,168.83,2.52,Medium,No,Loss,-1.35,09:29,28,09:57
95,2025-08-14,INFY,IT,MACD,Volatile,4138,4125.15,37,-475.45,Fear,Early Exit,4078.01,4384.69,59.99,246.69,4.11,Medium,Yes,Loss,-0.31,14:43,22,15:05
96,2026-05-07,INFY,IT,MACD,Bearish,2895,2942.08,61,2871.88,Confidence,No Mistake,2829.39,2959.1,65.61,64.1,0.98,Medium,No,Win,1.63,13:37,137,15:54
97,2026-03-16,ICICIBANK,Banking,MACD,Volatile,3059,2982.61,95,-7257.05,Confidence,No Mistake,2992.37,3209.12,66.63,150.12,2.25,High,Yes,Loss,-2.5,13:09,7,13:16
98,2025-12-21,TCS,IT,BREAKOUT,Volatile,2707,2586.51,61,-7349.89,Fear,No Mistake,2627.25,2812.83,79.75,105.83,1.33,Low,Yes,Loss,-4.45,11:55,75,13:10
99,2025-08-24,TCS,IT,RSI,Bullish,2188,2118.12,36,-2515.68,Greed,Overtrading,2160.55,2274.37,27.45,86.37,3.15,Medium,Yes,Loss,-3.19,13:40,167,16:27
100,2026-01-06,RELIANCE,Energy,RSI,Bullish,4575,4432.62,54,-7688.52,Fear,No Mistake,4505.65,4738.46,69.35,163.46,2.36,Low,Yes,Loss,-3.11,11:03,135,13:18
101,2025-07-10,HDFCBANK,Banking,RSI,sideways,1093,1051.73,54,-2228.58,Fear,Early Exit,1069.46,1133.81,23.54,40.81,1.73,High,Yes,Loss,-3.78,11:54,41,12:35
102,2026-04-08,HDFCBANK,Banking,RSI,Volatile,3012,2935.13,33,-2536.71,Confidence,Late Entry,2931.08,3101.31,80.92,89.31,1.1,Medium,Yes,Loss,-2.55,10:37,161,13:18
103,2026-04-22,INFY,IT,BREAKOUT,Volatile,1188,1245.93,12,695.16,Fear,No Mistake,1156.11,1213.78,31.89,25.78,0.81,Low,Yes,Win,4.88,14:36,172,17:28
104,2025-10-31,RELIANCE,Energy,BREAKOUT,sideways,4208,4362.98,74,11468.52,Confidence,No Mistake,4163.91,4397.58,44.09,189.58,4.3,Low,Yes,Win,3.68,10:02,214,13:36
105,2026-03-27,TCS,IT,BREAKOUT,sideways,1411,1432.16,47,994.52,Greed,Overtrading,1390.55,1483.79,20.45,72.79,3.56,Low,Yes,Win,1.5,10:46,29,11:15
106,2025-12-22,HDFCBANK,Banking,MACD,Volatile,1680,1762.19,17,1397.23,Fear,Early Exit,1639.37,1740.47,40.63,60.47,1.49,Medium,Yes,Win,4.89,14:01,28,14:29
107,2025-07-29,TCS,IT,MACD,Bearish,4177,4379.12,17,3436.04,Fear,No Mistake,4084.26,4264.18,92.74,87.18,0.94,Medium,No,Win,4.84,13:33,116,15:29
108,2025-11-30,INFY,IT,MACD,Bearish,4982,4921.41,99,-5998.41,Fear,Early Exit,4881.66,5212.65,100.34,230.65,2.3,High,No,Loss,-1.22,11:41,215,15:16
109,2026-01-22,RELIANCE,Energy,BREAKOUT,sideways,4781,4678.22,98,-10072.44,Greed,Overtrading,4724.82,4929.66,56.18,148.66,2.65,Low,Yes,Loss,-2.15,12:23,185,15:28
110,2026-05-02,RELIANCE,Energy,BREAKOUT,Bearish,4487,4505.81,63,1185.03,Greed,Overtrading,4363.17,4700.11,123.83,213.11,1.72,Medium,Yes,Win,0.42,09:39,222,13:21
111,2026-03-24,RELIANCE,Energy,RSI,Bearish,3398,3298.95,80,-7924.0,Confidence,No Mistake,3297.13,3533.87,100.87,135.87,1.35,High,No,Loss,-2.91,10:20,140,12:40
112,2025-07-04,HDFCBANK,Banking,RSI,Bullish,3453,3543.67,87,7888.29,Fear,Early Exit,3409.28,3610.78,43.72,157.78,3.61,Low,Yes,Win,2.63,14:57,220,18:37
113,2026-01-02,ICICIBANK,Banking,RSI,Volatile,2177,2125.72,90,-4615.2,Fear,No Mistake,2131.06,2245.01,45.94,68.01,1.48,Low,Yes,Loss,-2.36,12:25,124,14:29
114,2026-03-25,INFY,IT,RSI,Bearish,1196,1136.42,11,-655.38,Greed,Overtrading,1166.37,1231.36,29.63,35.36,1.19,Low,Yes,Loss,-4.98,13:26,175,16:21
115,2026-03-06,ICICIBANK,Banking,BREAKOUT,sideways,2934,2855.31,53,-4170.57,Confidence,No Mistake,2862.0,3095.35,72.0,161.35,2.24,Low,Yes,Loss,-2.68,09:01,22,09:23
116,2025-10-04,RELIANCE,Energy,RSI,Bearish,4358,4483.31,22,2756.82,Greed,Overtrading,4260.15,4557.97,97.85,199.97,2.04,Low,Yes,Win,2.88,11:04,190,14:14
117,2026-01-31,ICICIBANK,Banking,MACD,Bearish,4605,4769.15,58,9520.7,Greed,Overtrading,4482.84,4871.22,122.16,266.22,2.18,High,Yes,Win,3.56,09:41,126,11:47
118,2026-01-24,INFY,IT,MACD,Bearish,4459,4382.19,86,-6605.66,Confidence,Late Entry,4398.7,4667.93,60.3,208.93,3.46,Medium,No,Loss,-1.72,10:19,191,13:30
119,2026-05-23,INFY,IT,BREAKOUT,sideways,2034,2105.54,56,4006.24,Fear,Early Exit,2008.37,2153.06,25.63,119.06,4.65,High,Yes,Win,3.52,11:21,82,12:43
120,2026-04-08,RELIANCE,Energy,MACD,Volatile,3502,3614.51,43,4837.93,Greed,Overtrading,3403.04,3710.04,98.96,208.04,2.1,Medium,Yes,Win,3.21,14:29,233,18:22
121,2025-06-23,HDFCBANK,Banking,MACD,Bearish,1646,1625.17,49,-1020.67,Greed,No Mistake,1596.74,1714.25,49.26,68.25,1.39,High,Yes,Loss,-1.27,12:53,115,14:48
122,2026-05-13,TCS,IT,MACD,Bullish,2089,2020.12,74,-5097.12,Fear,Early Exit,2064.71,2141.38,24.29,52.38,2.16,Low,Yes,Loss,-3.3,10:03,105,11:48
123,2026-04-30,HDFCBANK,Banking,RSI,Volatile,2380,2400.8,82,1705.6,Fear,Early Exit,2338.92,2468.36,41.08,88.36,2.15,Medium,No,Win,0.87,10:11,193,13:24
124,2025-08-21,ICICIBANK,Banking,MACD,sideways,3393,3262.46,99,-12923.46,Greed,Overtrading,3347.97,3589.37,45.03,196.37,4.36,Medium,Yes,Loss,-3.85,14:45,108,16:33
125,2026-06-02,ICICIBANK,Banking,RSI,Volatile,1422,1423.54,23,35.42,Fear,Early Exit,1405.44,1505.18,16.56,83.18,5.02,High,Yes,Win,0.11,11:07,169,13:56
126,2025-07-29,RELIANCE,Energy,RSI,Volatile,2982,2908.71,60,-4397.4,Greed,Overtrading,2892.69,3120.47,89.31,138.47,1.55,Medium,No,Loss,-2.46,09:03,91,10:34
127,2026-03-24,INFY,IT,MACD,sideways,4900,4971.76,42,3013.92,Greed,No Mistake,4809.86,5059.63,90.14,159.63,1.77,High,Yes,Win,1.46,11:09,114,13:03
128,2026-02-14,INFY,IT,BREAKOUT,sideways,2075,2109.82,73,2541.86,Greed,Overtrading,2044.8,2156.23,30.2,81.23,2.69,Medium,Yes,Win,1.68,10:31,161,13:12
129,2025-12-10,INFY,IT,RSI,Bearish,4260,4421.27,95,15320.65,Fear,Early Exit,4195.62,4436.97,64.38,176.97,2.75,Medium,No,Win,3.79,09:55,170,12:45
130,2025-10-06,INFY,IT,RSI,sideways,2109,2116.24,69,499.56,Greed,No Mistake,2069.93,2162.42,39.07,53.42,1.37,Low,Yes,Win,0.34,10:02,233,13:55
131,2026-02-21,ICICIBANK,Banking,MACD,Volatile,4459,4653.3,11,2137.3,Greed,No Mistake,4406.7,4641.71,52.3,182.71,3.49,Medium,No,Win,4.36,13:28,150,15:58
132,2026-03-13,RELIANCE,Energy,RSI,Volatile,2988,2969.34,70,-1306.2,Confidence,Late Entry,2904.83,3112.07,83.17,124.07,1.49,Medium,Yes,Loss,-0.62,11:40,226,15:26
133,2025-10-17,HDFCBANK,Banking,MACD,Bullish,1873,1901.4,64,1817.6,Greed,Overtrading,1825.01,1956.31,47.99,83.31,1.74,Medium,No,Win,1.52,11:51,96,13:27
134,2026-04-14,HDFCBANK,Banking,MACD,Bullish,1775,1836.67,25,1541.75,Greed,No Mistake,1730.84,1812.37,44.16,37.37,0.85,Low,Yes,Win,3.47,13:55,56,14:51
135,2026-04-19,RELIANCE,Energy,MACD,Bearish,1740,1785.42,17,772.14,Confidence,No Mistake,1711.91,1822.24,28.09,82.24,2.93,Medium,Yes,Win,2.61,10:11,204,13:35
